Attributes,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
Symbols,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA,SSISCA
date,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,SSISCA,OTC,0.0,0.0,0.0,27.72551,0.0,0.0,0.0,0.0,27.72551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-14,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-13,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-12,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-09,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-08,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-07,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-05,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31,SSISCA,OTC,0.0,0.0,0.0,26.41427,0.0,0.0,0.0,0.0,26.41427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-30,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-26,SSISCA,OTC,0.0,0.0,0.0,25.16076,0.0,0.0,0.0,0.0,25.16076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-25,SSISCA,OTC,0.0,0.0,0.0,25.16076,0.0,0.0,0.0,0.0,25.16076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-24,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-23,SSISCA,OTC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-28,SSISCA,OTC,0.0,0.0,0.0,25.16076,0.0,0.0,0.0,0.0,25.16076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,SSISCA,OTC,0.0,0.0,0.0,24.87781,0.0,0.0,0.0,0.0,24.87781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,SSISCA,OTC,0.0,0.0,0.0,24.54841,0.0,0.0,0.0,0.0,24.54841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,SSISCA,OTC,0.0,0.0,0.0,26.332,0.0,0.0,0.0,0.0,26.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-31,SSISCA,OTC,0.0,0.0,0.0,23.80985,0.0,0.0,0.0,0.0,23.80985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,SSISCA,OTC,0.0,0.0,0.0,23.24362,0.0,0.0,0.0,0.0,23.24362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-31,SSISCA,OTC,0.0,0.0,0.0,23.55395,0.0,0.0,0.0,0.0,23.55395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,SSISCA,OTC,0.0,0.0,0.0,27.27746,0.0,0.0,0.0,0.0,27.27746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-31,SSISCA,OTC,0.0,0.0,0.0,30.15756,0.0,0.0,0.0,0.0,30.15756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-31,SSISCA,OTC,0.0,0.0,0.0,30.15756,0.0,0.0,0.0,0.0,30.15756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-30,SSISCA,OTC,0.0,0.0,0.0,28.49836,0.0,0.0,0.0,0.0,28.49836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,SSISCA,OTC,0.0,0.0,0.0,30.06883,0.0,0.0,0.0,0.0,30.06883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,SSISCA,OTC,0.0,0.0,0.0,31.38014,0.0,0.0,0.0,0.0,31.38014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,SSISCA,OTC,0.0,0.0,0.0,33.59264,0.0,0.0,0.0,0.0,33.59264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-28,SSISCA,OTC,0.0,0.0,0.0,32.10893,0.0,0.0,0.0,0.0,32.10893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31,SSISCA,OTC,0.0,0.0,0.0,31.35354,0.0,0.0,0.0,0.0,31.35354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
