date,code,floor,basic_price,ceiling_price,floor_price,close,open,high,low,average,adjust_close,adjust_open,adjust_high,adjust_low,adjust_average,change,adjust_change,percent_change,volume_match,value_match,volume_reconcile,value_reconcile,total_volume,total_value
11/8/24,ENF,OTC,0,0,0,36532.0,0,0,0,0,36532.0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/24,ENF,OTC,0,0,0,36099.00000000001,0,0,0,0,36099.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/24,ENF,OTC,0,0,0,36556.99999999999,0,0,0,0,36556.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/24,ENF,OTC,0,0,0,36443.00000000001,0,0,0,0,36443.00000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/24,ENF,OTC,0,0,0,36158.0,0,0,0,0,36158.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/24,ENF,OTC,0,0,0,36324.0,0,0,0,0,36324.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/24,ENF,OTC,0,0,0,36990.0,0,0,0,0,36990.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/24,ENF,OTC,0,0,0,36935.0,0,0,0,0,36935.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/24,ENF,OTC,0,0,0,37236.99999999999,0,0,0,0,37236.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/24,ENF,OTC,0,0,0,36726.0,0,0,0,0,36726.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/24,ENF,OTC,0,0,0,36805.0,0,0,0,0,36805.0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/24,ENF,OTC,0,0,0,37086.99999999999,0,0,0,0,37086.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
9/27/24,ENF,OTC,0,0,0,37119.0,0,0,0,0,37119.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/25/24,ENF,OTC,0,0,0,36939.0,0,0,0,0,36939.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/20/24,ENF,OTC,0,0,0,36719.0,0,0,0,0,36719.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/18/24,ENF,OTC,0,0,0,36411.0,0,0,0,0,36411.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/24,ENF,OTC,0,0,0,36369.0,0,0,0,0,36369.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11/24,ENF,OTC,0,0,0,36199.0,0,0,0,0,36199.0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/24,ENF,OTC,0,0,0,36310.0,0,0,0,0,36310.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/24,ENF,OTC,0,0,0,36759.0,0,0,0,0,36759.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/28/24,ENF,OTC,0,0,0,36689.0,0,0,0,0,36689.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/23/24,ENF,OTC,0,0,0,36853.0,0,0,0,0,36853.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/21/24,ENF,OTC,0,0,0,36679.0,0,0,0,0,36679.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/14/24,ENF,OTC,0,0,0,35876.99999999999,0,0,0,0,35876.99999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
8/9/24,ENF,OTC,0,0,0,35084.0,0,0,0,0,35084.0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/7/24,ENF,OTC,0,0,0,35218.0,0,0,0,0,35218.0,0,0,0,0,0,0,0,0,0,0,0,0,0
